seed,prompt_id,position,selected_uncertain,b0v_correct,b0v_wrong
42,0,1,False,True,False
42,0,2,False,False,True
42,0,3,False,False,True
42,0,4,False,False,True
42,0,5,True,False,True
42,0,6,True,True,False
42,0,7,False,False,True
42,0,8,False,False,True
42,0,9,False,False,True
42,0,10,False,False,True
42,0,11,False,False,True
42,0,12,True,False,True
42,0,13,False,False,True
42,0,14,True,False,True
42,0,15,True,False,True
42,0,16,False,False,True
42,0,17,False,False,True
42,0,18,True,True,False
42,0,19,True,False,True
42,0,20,False,True,False
42,0,21,False,False,True
42,0,22,False,False,True
42,0,23,False,True,False
42,0,24,False,False,True
42,0,25,False,True,False
42,0,26,False,True,False
42,0,27,True,False,True
42,0,28,False,False,True
42,0,29,False,False,True
42,0,30,False,True,False
42,0,31,False,False,True
42,0,32,True,True,False
42,0,33,False,False,True
42,0,34,False,True,False
42,0,35,False,True,False
42,0,36,False,True,False
42,0,37,False,False,True
42,0,38,False,True,False
42,0,39,False,False,True
42,0,40,False,False,True
42,0,41,False,True,False
42,0,42,False,True,False
42,0,43,False,True,False
42,0,44,False,False,True
42,0,45,False,False,True
42,0,46,True,False,True
42,0,47,False,True,False
42,0,48,False,True,False
42,0,49,True,False,True
42,0,50,False,True,False
42,0,51,False,True,False
42,0,52,False,False,True
42,0,53,True,False,True
42,0,54,False,True,False
42,0,55,False,False,True
42,0,56,False,False,True
42,0,57,True,False,True
42,0,58,False,True,False
42,0,59,False,False,True
42,0,60,False,False,True
42,0,61,False,False,True
42,0,62,False,False,True
42,0,63,False,True,False
42,0,64,False,True,False
42,0,65,False,True,False
42,0,66,False,False,True
42,0,67,False,False,True
42,0,68,True,False,True
42,0,69,True,False,True
42,0,70,False,True,False
42,0,71,False,True,False
42,0,72,False,False,True
42,0,73,True,False,True
42,0,74,False,True,False
42,0,75,False,False,True
42,0,76,False,True,False
42,0,77,False,False,True
42,0,78,False,True,False
42,0,79,False,True,False
42,0,80,True,False,True
42,0,81,False,True,False
42,0,82,False,False,True
42,0,83,False,True,False
42,0,84,False,False,True
42,0,85,False,True,False
42,0,86,False,False,True
42,0,87,False,False,True
42,0,88,False,False,True
42,0,89,False,True,False
42,0,90,True,False,True
42,0,91,True,False,True
42,0,92,False,True,False
42,0,93,True,False,True
42,0,94,False,False,True
42,0,95,False,True,False
42,0,96,False,False,True
42,0,97,False,True,False
42,0,98,False,True,False
42,0,99,False,True,False
42,0,100,False,False,True
42,0,101,False,True,False
42,0,102,False,True,False
42,0,103,False,True,False
42,0,104,False,True,False
42,0,105,True,False,True
42,0,106,True,False,True
42,0,107,False,True,False
42,0,108,False,False,True
42,0,109,False,True,False
42,0,110,False,True,False
42,0,111,False,False,True
42,0,112,False,True,False
42,0,113,True,False,True
42,0,114,False,False,True
42,0,115,False,True,False
42,0,116,True,False,True
42,0,117,False,True,False
42,0,118,False,True,False
42,0,119,False,False,True
42,0,120,False,False,True
42,0,121,True,False,True
42,0,122,True,True,False
42,0,123,False,True,False
42,0,124,False,False,True
42,0,125,False,True,False
42,0,126,False,True,False
42,0,127,False,False,True
42,0,128,False,False,True
42,0,129,False,True,False
42,0,130,False,True,False
42,0,131,False,True,False
42,0,132,False,False,True
42,0,133,True,False,True
42,0,134,False,True,False
42,1,1,True,False,True
42,1,2,True,True,False
42,1,3,True,False,True
42,1,4,False,True,False
42,1,5,False,True,False
42,1,6,False,True,False
42,1,7,False,True,False
42,1,8,False,True,False
42,1,9,False,True,False
42,1,10,False,True,False
42,1,11,False,True,False
42,1,12,False,True,False
42,1,13,False,True,False
